Latitude,Longitude,tab
35.238291,-80.883813,Mcdonalds
36.539939,-87.364626,Mcdonalds
38.563,-90.1767,Mcdonalds
42.40269,-83.223459,Mcdonalds
29.211631,-81.023197,Mcdonalds
28.03238544,-82.42489724,Mcdonalds
47.715457,-117.425407,Mcdonalds
39.741444,-75.582908,Mcdonalds
33.916225,-118.307722,Mcdonalds
40.04634718,-74.9042809,Mcdonalds
41.652949,-86.249787,Mcdonalds
38.565126,-90.29362083,Mcdonalds
33.741118,-118.292404,Mcdonalds
34.246848,-85.161442,Mcdonalds
40.100169,-75.030041,Mcdonalds
47.255698,-122.445257,Mcdonalds
41.192446,-111.971263,Mcdonalds
47.166585,-122.516717,Mcdonalds
42.137,-72.5181,Mcdonalds
34.167306,-118.32311,Mcdonalds
44.940629,-123.02712,Mcdonalds
42.520483,-71.103289,Mcdonalds
42.970913,-71.454697,Mcdonalds
30.701368,-88.114362,Mcdonalds
33.969072,-118.098462,Mcdonalds
41.878709,-87.813887,Mcdonalds
37.297988,-121.949958,Mcdonalds
43.6546,-70.2798,Mcdonalds
34.198915,-118.449299,Mcdonalds
42.421172,-76.518141,Mcdonalds
38.897804,-76.904966,Mcdonalds
37.5815,-77.4935,Mcdonalds
29.265322,-81.027162,Mcdonalds
33.75888017,-117.9566504,Mcdonalds
47.191572,-122.433911,Mcdonalds
37.352352,-122.001176,Mcdonalds
41.553952,-72.682805,Mcdonalds
33.130129,-117.067779,Mcdonalds
34.088009,-117.75019,Mcdonalds
40.598057,-75.527824,Mcdonalds
41.635635,-72.873669,Mcdonalds
42.301996,-71.340803,Mcdonalds
38.41783,-82.459316,Mcdonalds
37.244601,-121.88873,Mcdonalds
33.928907,-118.148198,Mcdonalds
33.79076868,-118.2607031,Mcdonalds
37.995686,-87.541501,Mcdonalds
40.008682,-82.970751,Mcdonalds
36.844497,-87.484823,Mcdonalds
43.075288,-88.047865,Mcdonalds
40.827868,-91.141624,Mcdonalds
42.197449,-72.574112,Mcdonalds
33.874074,-84.380892,Mcdonalds
36.144656,-80.300739,Mcdonalds
38.8173,-77.141,Mcdonalds
38.908124,-77.00648,Mcdonalds
42.599394,-87.870776,Mcdonalds
39.825277,-75.158565,Mcdonalds
37.303891,-122.032159,Mcdonalds
41.403977,-81.799839,Mcdonalds
33.7978,-118.3088,Mcdonalds
43.051788,-76.073175,Mcdonalds
38.550728,-121.48886,Mcdonalds
33.920051,-84.379117,Mcdonalds
44.822231,-68.778257,Mcdonalds
30.450675,-91.135733,Mcdonalds
28.085194,-80.622517,Mcdonalds
38.6561,-90.3331,Mcdonalds
44.930365,-93.123086,Mcdonalds
40.581834,-74.293371,Mcdonalds
43.31227478,-73.64723414,Mcdonalds
34.747022,-87.667524,Mcdonalds
26.1888,-80.1297,Mcdonalds
34.050392,-117.943589,Mcdonalds
41.55868,-73.052609,Mcdonalds
42.282573,-71.054657,Mcdonalds
34.072541,-117.670321,Mcdonalds
38.659743,-121.347963,Mcdonalds
36.673023,-121.6292899,Mcdonalds
42.13447,-71.101551,Mcdonalds
39.028119,-76.917089,Mcdonalds
38.961974,-77.028058,Mcdonalds
38.200534,-85.782679,Mcdonalds
27.97462,-82.484817,Mcdonalds
44.986552,-93.380628,Mcdonalds
35.405883,-97.547756,Mcdonalds
40.665857,-111.837604,Mcdonalds
42.423018,-71.008794,Mcdonalds
40.68979069,-74.29517269,Mcdonalds
43.444929,-83.97558,Mcdonalds
38.617784,-121.367303,Mcdonalds
40.610275,-80.053708,Mcdonalds
41.880311,-87.75492,Mcdonalds
42.081699,-87.937332,Mcdonalds
28.012041,-81.957104,Mcdonalds
40.580905,-74.494285,Mcdonalds
40.736123,-111.888109,Mcdonalds
43.046178,-87.957666,Mcdonalds
43.160174,-88.112774,Mcdonalds
34.278097,-119.213742,Mcdonalds
26.121065,-80.186381,Mcdonalds
40.747435,-73.590885,Mcdonalds
38.965827,-77.002388,Mcdonalds
38.821528,-76.886337,Mcdonalds
34.107369,-118.056242,Mcdonalds
33.643488,-117.925548,Mcdonalds
42.264896,-71.168035,Mcdonalds
42.1081,-71.0242,Mcdonalds
41.592585,-87.694214,Mcdonalds
41.529098,-72.777643,Mcdonalds
27.456872,-82.575309,Mcdonalds
34.1866,-118.4142,Mcdonalds
42.629255,-71.275575,Mcdonalds
33.727405,-117.888577,Mcdonalds
37.701353,-97.335577,Mcdonalds
41.024568,-73.635064,Mcdonalds
30.30569,-81.752488,Mcdonalds
39.490809,-75.042872,Mcdonalds
37.715719,-97.299056,Mcdonalds
40.180058,-75.105565,Mcdonalds
41.726338,-87.740931,Mcdonalds
33.902114,-118.098573,Mcdonalds
38.119057,-122.255049,Mcdonalds
39.824912,-86.009841,Mcdonalds
42.324538,-83.330931,Mcdonalds
38.959026,-76.919244,Mcdonalds
37.966848,-122.344276,Mcdonalds
37.67406,-120.994077,Mcdonalds
25.866522,-80.304991,Mcdonalds
40.773339,-73.484156,Mcdonalds
40.637871,-73.623444,Mcdonalds
34.150906,-118.0269,Mcdonalds
41.968157,-87.724697,Mcdonalds
41.538431,-81.616289,Mcdonalds
38.558916,-121.438955,Mcdonalds
38.988605,-94.667636,Mcdonalds
37.882335,-122.296557,Mcdonalds
33.788155,-117.872,Mcdonalds
36.967421,-122.038796,Mcdonalds
34.06789,-118.0267,Mcdonalds
