uk_council,value,tooltip,,,,
London Borough of Bromley,302600,"London Borough of Bromley - 303,000",,,,
London Borough of Camden,235700,"London Borough of Camden - 236,000",,,,
London Borough of Croydon,341800,"London Borough of Croydon - 342,000",,,,
London Borough of Ealing,309000,"London Borough of Ealing - 309,000",,,,
London Borough of Enfield,287600,"London Borough of Enfield - 288,000",,,,
London Borough of Greenwich,222900,"London Borough of Greenwich - 223,000",,,,
London Borough of Hackney,212200,"London Borough of Hackney - 212,000",,,,
London Borough of Hammersmith and Fulham,172200,"London Borough of Hammersmith and Fulham - 172,000",,,,
London Borough of Haringey,226200,"London Borough of Haringey - 226,000",,,,
London Borough of Harrow,216200,"London Borough of Harrow - 216,000",,,,
London Borough of Havering,230100,"London Borough of Havering - 230,000",,,,
London Borough of Hillingdon,253200,"London Borough of Hillingdon - 253,000",,,,
London Borough of Hounslow,222600,"London Borough of Hounslow - 223,000",,,,
London Borough of Islington,190900,"London Borough of Islington - 191,000",,,,
London Borough of Lambeth,274500,"London Borough of Lambeth - 275,000",,,,
London Borough of Lewisham,261600,"London Borough of Lewisham - 262,000",,,,
London Borough of Merton,201400,"London Borough of Merton - 201,000",,,,
London Borough of Newham,249500,"London Borough of Newham - 250,000",,,,
London Borough of Redbridge,257600,"London Borough of Redbridge - 258,000",,,,
London Borough of Richmond upon Thames,180100,"London Borough of Richmond upon Thames - 180,000",,,,
London Borough of Southwark,278000,"London Borough of Southwark - 278,000",,,,
London Borough of Sutton,187600,"London Borough of Sutton - 188,000",,,,
London Borough of Tower Hamlets,220500,"London Borough of Tower Hamlets - 221,000",,,,
London Borough of Waltham Forest,223200,"London Borough of Waltham Forest - 223,000",,,,
London Borough of Wandsworth,284000,"London Borough of Wandsworth - 284,000",,,,
Luton Borough Council,191800,"Luton Borough Council - 192,000",,,,
Magherafelt District Council,43800,"Magherafelt District Council - 44,000",,,,
Maidstone Borough Council,145400,"Maidstone Borough Council - 145,000",,,,
Maldon District Council,63100,"Maldon District Council - 63,000",,,,
Malvern Hills District Council,74800,"Malvern Hills District Council - 75,000",,,,
Manchester City Council,464200,"Manchester City Council - 464,000",,,,
Mansfield District Council,100600,"Mansfield District Council - 101,000",,,,
Medway Council,253500,"Medway Council - 254,000",,,,
Melton Borough Council,49300,"Melton Borough Council - 49,000",,,,
Mendip District Council,110100,"Mendip District Council - 110,000",,,,
Merthyr Tydfil Council,55700,"Merthyr Tydfil Council - 56,000",,,,
Mid Devon District Council,76700,"Mid Devon District Council - 77,000",,,,
Mid Suffolk District Council,94700,"Mid Suffolk District Council - 95,000",,,,
Mid Sussex District Council,131600,"Mid Sussex District Council - 132,000",,,,
Middlesbrough Borough Council,139000,"Middlesbrough Borough Council - 139,000",,,,
Midlothian Council,80600,"Midlothian Council - 81,000",,,,
Milton Keynes Council,232200,"Milton Keynes Council - 232,000",,,,
Mole Valley Council,82000,"Mole Valley Council - 82,000",,,,
Monmouthshire Council,88400,"Monmouthshire Council - 88,000",,,,
Moray Council,87800,"Moray Council - 88,000",,,,
Moyle District Council,16900,"Moyle District Council - 17,000",,,,
Neath Port Talbot Council,137600,"Neath Port Talbot Council - 138,000",,,,
New Forest District Council,175400,"New Forest District Council - 175,000",,,,
Newark and Sherwood,113300,"Newark and Sherwood - 113,000",,,,
Newcastle upon Tyne City Council,273600,"Newcastle upon Tyne City Council - 274,000",,,,
