value,address
   5,"30 SCHUYLER PL MORRISTOWN TOWN, NJ"
   2,"30 SCHUYLER PLACE MORRISTOWN TOWN, NJ"
   2,"31 CLINTON PL MORRISTOWN TOWN, NJ"
   2,"31 EARLY ST MORRISTOWN TOWN, NJ"
   2,"31 MILLER RD MORRISTOWN TOWN, NJ"
   3,"310 SOUTH ST MORRISTOWN TOWN, NJ"
   2,"320 SOUTH ST MORRISTOWN TOWN, NJ"
   2,"320 SOUTH STREET MORRISTOWN TOWN, NJ"
   1,"35 PINE ST MORRISTOWN TOWN, NJ"
   1,"350 SOUTH ST and SANDHILL RD MORRISTOWN TOWN, NJ"
   2,"36 EARLY ST MORRISTOWN TOWN, NJ"
   2,"36 SOUTH ST MORRISTOWN TOWN, NJ"
   2,"37 MAPLE AVENUE MORRISTOWN TOWN, NJ"
   4,"39 EARLY ST MORRISTOWN TOWN, NJ"
   2,"4 FAIRVIEW PL MORRISTOWN TOWN, NJ"
   2,"4 ORCHARD ST MORRISTOWN TOWN, NJ"
   2,"4 PINE ST MORRISTOWN TOWN, NJ"
   2,"4 TIFFANY RD MORRISTOWN TOWN, NJ"
   2,"40 OVERLOOK RD MORRISTOWN TOWN, NJ"
   2,"41 ELM ST MORRISTOWN TOWN, NJ"
   2,"41 MOUNT KEMBLE AVE MORRISTOWN TOWN, NJ"
   2,"41 MT KEMBLE AVENUE MORRISTOWN TOWN, NJ"
   2,"43 FORD AVE MORRISTOWN TOWN, NJ"
   3,"44 HILL ST MORRISTOWN TOWN, NJ"
   2,"44 RIDGEDALE MORRISTOWN TOWN, NJ"
   2,"48 HILL ST MORRISTOWN TOWN, NJ"
   2,"48 SOUTH ST LOT MORRISTOWN TOWN, NJ"
   2,"48 SOUTH ST MORRISTOWN TOWN, NJ"
   2,"48 SPRING ST MORRISTOWN TOWN, NJ"
   1,"49 BANK ST MORRISTOWN TOWN, NJ"
  13,"50 EARLY ST MORRISTOWN TOWN, NJ"
   2,"50 EARLY STREET MORRISTOWN TOWN, NJ"
   2,"50 MORRIS ST and MIDTOWN LOT MORRISTOWN TOWN, NJ"
   2,"51 SPRING ST MORRISTOWN TOWN, NJ"
