"latitude","tab_friendlykia","tab_hostnationkia","year","tab_civiliankia","tab_enemykia","longitude"
"32.76583099","0","1","Fri Aug 27 00:00:00 -0400 2004","0","0","67.23860168"
"33.32693863","0","0","Fri Aug 27 00:00:00 -0400 2004","1","0","69.76805878"
"33.58332825","0","1","Fri Aug 27 00:00:00 -0400 2004","0","0","69.21666718"
"32.45000076","0","1","Fri Aug 27 00:00:00 -0400 2004","0","0","64.73332977"
"33.48332977","0","0","Sat Aug 28 00:00:00 -0400 2004","9","0","69.05166626"
"34.52999878","0","0","Sun Aug 29 00:00:00 -0400 2004","8","0","69.18110657"
"36.93333817","0","1","Mon Aug 30 00:00:00 -0400 2004","0","0","70.90750122"
"35.3691597","0","0","Tue Aug 31 00:00:00 -0400 2004","0","1","71.3861084"
"33.21805954","0","0","Thu Sep 02 00:00:00 -0400 2004","0","3","69.97528076"
"32.64556122","0","1","Thu Sep 02 00:00:00 -0400 2004","0","0","65.45139313"
"32.95000076","0","2","Fri Sep 03 00:00:00 -0400 2004","0","0","65.53334045"
"31.61750031","0","0","Fri Sep 03 00:00:00 -0400 2004","1","0","65.73555756"
"32.06666946","0","6","Sat Sep 04 00:00:00 -0400 2004","0","0","64.81665802"
"34.5085907","0","0","Thu Sep 09 00:00:00 -0400 2004","2","0","69.26361084"
"32.08889008","0","0","Fri Sep 10 00:00:00 -0400 2004","0","2","67.49833679"
"34.34666824","0","0","Fri Sep 10 00:00:00 -0400 2004","0","1","62.1958313"
"31.67416954","0","0","Sat Sep 11 00:00:00 -0400 2004","0","18","67.11776733"
"32.04750061","0","0","Tue Sep 14 00:00:00 -0400 2004","0","1","67.15471649"
"32.41278076","0","0","Sat Sep 18 00:00:00 -0400 2004","0","1","66.66583252"
"32.45555115","0","0","Mon Sep 20 00:00:00 -0400 2004","0","2","66.54915619"
"32.65916061","0","0","Tue Sep 21 00:00:00 -0400 2004","0","1","69.39111328"
"32.92416","0","0","Wed Sep 22 00:00:00 -0400 2004","0","1","66.65778351"
"32.93082809","0","0","Sat Sep 25 00:00:00 -0400 2004","1","0","65.43611145"
"32.5627594","0","0","Tue Sep 28 00:00:00 -0400 2004","0","3","66.58666992"
"32.08304977","0","7","Thu Sep 30 00:00:00 -0400 2004","0","0","67.24526215"
"34.03833008","0","0","Fri Oct 01 00:00:00 -0400 2004","0","2","69.01777649"
"31.62887955","0","0","Tue Oct 05 00:00:00 -0400 2004","1","2","65.70749664"
"31.74165916","0","6","Tue Oct 05 00:00:00 -0400 2004","0","0","67.34777832"
"37.12361145","0","2","Wed Oct 06 00:00:00 -0400 2004","0","0","70.58972168"
"32.89694977","0","0","Fri Oct 08 00:00:00 -0400 2004","0","5","65.39527893"
"31.73278046","0","0","Sat Oct 09 00:00:00 -0400 2004","0","1","67.35749817"
"31.51777077","0","0","Sat Oct 09 00:00:00 -0400 2004","1","0","65.53778076"
"32.86471176","0","3","Sat Oct 09 00:00:00 -0400 2004","0","0","66.11444092"
