Name,Latitude,Longitude,Lines
Woodford ,51.60582,+0.03328 ,Central
Woodside Park ,51.6181717295887,-0.185578887883903,Northern 
All Saints ,51.510301,-0.012832,Docklands
Beckton ,51.514411,+0.061640 ,Docklands
Beckton Park ,51.508758,+0.054778 ,Docklands
Blackwall ,51.507903,-0.007438,Docklands
Bow Church ,51.5289,-0.021,Docklands
Canary Wharf ,51.505946,-0.020493,Docklands
Canning Town ,51.51388,+0.008876 ,Docklands
Crossharbour ,51.495086,-0.014543,Docklands
Custom House ,51.509731,+0.026013 ,Docklands
Cutty Sark ,51.481713,-0.010811,Docklands
Cyprus ,51.50836,+0.063990 ,Docklands
Deptford Bridge ,51.478016,-0.022496,Docklands
Devons Road ,51.522274,-0.01708,Docklands
East India ,51.509516,-0.002128,Docklands
Elverson Road ,51.468768,-0.016265,Docklands
Gallions Reach ,51.509111,+0.071911 ,Docklands
Greenwich ,51.478016,-0.015391,Docklands
Heron Quays ,51.5046489,-0.0207681,Docklands
Island Gardens ,51.488001,-0.011039,Docklands
King George V ,51.50202,+0.06299 ,Docklands
Lewisham ,51.46554,-0.013196,Docklands
Lewisham ,51.465216,-0.013166,Docklands
Limehouse ,51.5124366,-0.0395511,Docklands
London City Airport ,51.50319,+0.04864 ,Docklands
Mudchute ,51.491185,-0.014595,Docklands
Pontoon Dock ,51.50205,+0.03308 ,Docklands
Poplar ,51.507725,-0.016503,Docklands
Prince Regent ,51.509471,+0.033473 ,Docklands
Pudding Mill Lane ,51.5339,-0.0142,Docklands
Royal Albert ,51.508456,+0.046148 ,Docklands
Royal Victoria ,51.509156,+0.018083 ,Docklands
Shadwell ,51.51163,-0.05625,Docklands
Shadwell ,51.511853,-0.05548,Docklands
South Quay ,51.500413,-0.018636,Docklands
Stratford ,51.54047,-0.005085,Docklands
Tower Gateway ,51.510911,-0.073466,Docklands
Westferry ,51.509576,-0.02699,Docklands
West India Quay ,51.506723,-0.01988,Docklands
West Silvertown ,51.50335,+0.02208 ,Docklands
